gene	conMean	treatMean	logFC	pValue	fdr
COX7CP1	1.882918598	0.669216359	-1.213702239	2.05E-50	6.00E-50
CTSG	2.544976021	1.100437176	-1.444538845	2.17E-54	6.92E-54
EPB41L3	4.514102115	2.969680904	-1.54442121	5.12E-93	4.96E-92
DES	6.580412679	2.122266178	-4.4581465	3.84E-130	1.36E-127
MRPS28	4.504808123	5.567376337	1.062568213	5.02E-91	4.54E-90
POF1B	0.583485179	1.644699095	1.061213916	5.57E-30	1.09E-29
STARD13	3.515067165	1.697340068	-1.817727096	1.02E-131	7.22E-129
ACTA2	8.667392725	7.136915098	-1.530477627	8.10E-70	3.78E-69
HSD11B1	4.449027539	2.437908428	-2.011119112	1.10E-107	2.17E-106
ANGPT1	3.616484521	1.623170934	-1.993313587	5.28E-110	1.23E-108
ADH1B	7.903332338	3.165859515	-4.737472824	2.17E-128	4.75E-126
CTD-2647L4.4	2.315050523	1.108519751	-1.206530772	5.65E-90	4.93E-89
LPL	5.430603544	2.994739445	-2.435864098	9.90E-92	9.18E-91
RXFP1	1.520683071	0.367330621	-1.15335245	1.28E-109	2.89E-108
MYH11	6.547512379	3.679151699	-2.86836068	2.55E-113	7.28E-112
DOCK4	4.584813205	2.431377193	-2.153436013	7.24E-127	1.13E-124
IGLV2-8	4.103269732	5.714983862	1.61171413	8.06E-31	1.60E-30
PCCB	3.426076514	4.572397175	1.146320661	4.42E-94	4.43E-93
EPHB2	1.253793706	2.641275772	1.387482066	7.33E-76	4.08E-75
TNFRSF1B	5.054223916	3.979069255	-1.075154661	2.93E-75	1.60E-74
APOA1BP	5.304576717	6.768174096	1.463597378	6.74E-117	2.56E-115
RP11-440D17.3	1.468412439	2.700849326	1.232436887	3.17E-100	4.17E-99
IGHV1-2	3.172735528	5.290701999	2.11796647	3.28E-41	7.92E-41
DHFR	2.198378587	3.396037633	1.197659045	1.23E-103	1.90E-102
RRAD	5.027110284	3.518560626	-1.508549658	1.02E-48	2.89E-48
RBP4	3.656026421	2.193403294	-1.462623127	6.27E-50	1.81E-49
CCNF	1.047740577	2.269080707	1.22134013	9.25E-110	2.11E-108
NPIPP1	4.487574378	2.845040665	-1.642533713	6.46E-91	5.82E-90
THSD1	3.12720772	1.220187747	-1.907019973	9.25E-127	1.39E-124
PCP4	0.633353782	2.771518809	2.138165027	1.52E-54	4.88E-54
DEPDC1B	0.381125803	1.826112917	1.444987114	1.54E-115	5.27E-114
GJB2	0.507171719	3.248800949	2.74162923	3.60E-122	2.27E-120
SCARF1	4.240652351	2.444979305	-1.795673047	7.29E-108	1.45E-106
AC024560.3	3.884183153	2.570566161	-1.313616992	1.53E-75	8.46E-75
EIF2AK1	4.656560666	6.014460773	1.357900107	6.29E-133	1.09E-129
TWIST2	2.833375146	1.253718641	-1.579656505	3.57E-106	6.36E-105
CYP4F12	1.932129043	0.901369764	-1.030759279	7.71E-56	2.53E-55
GALNT4	1.315598513	2.621170381	1.305571868	1.62E-98	1.97E-97
KLRK1	3.24181605	1.866651632	-1.375164418	2.09E-61	7.87E-61
CYGB	4.302175681	2.998977597	-1.303198084	1.15E-97	1.34E-96
DAPK2	4.726359713	2.847058783	-1.879300929	3.16E-108	6.46E-107
FLCN	4.96788475	3.480043359	-1.487841392	2.66E-109	5.87E-108
CTA-384D8.35	1.127413216	2.70232932	1.574916103	8.18E-91	7.33E-90
STK10	4.866632797	3.357343484	-1.509289313	1.19E-114	3.70E-113
PAX9	0.441977411	1.807527402	1.36554999	7.72E-84	5.45E-83
ATG16L2	5.576003209	3.341394252	-2.234608957	4.24E-95	4.42E-94
CLIC4	6.306559567	5.257976722	-1.048582845	9.66E-85	7.00E-84
NOSTRIN	5.218726938	2.846437941	-2.372288997	4.51E-117	1.73E-115
ZMAT1	2.929729836	1.719113672	-1.210616164	1.44E-65	6.03E-65
RP11-64B16.2	2.118507795	0.765392874	-1.353114921	3.39E-114	1.03E-112
FAM111B	0.532299673	1.910989127	1.378689454	7.96E-104	1.25E-102
DYSF	4.229561422	2.935066572	-1.29449485	2.61E-84	1.87E-83
MTND4P12	0.866873906	3.110735082	2.243861176	1.05E-42	2.61E-42
ACTN2	2.446885198	0.334504252	-2.112380946	1.22E-127	2.27E-125
SPAG4	2.306441341	4.121451044	1.815009703	1.81E-98	2.20E-97
MSX1	1.720742763	0.714810153	-1.00593261	4.91E-90	4.28E-89
CAB39L	3.628659431	2.191186799	-1.437472633	1.72E-102	2.51E-101
PRAME	0.109319904	1.954499948	1.845180043	6.52E-53	2.01E-52
RAB25	5.112651717	6.957166026	1.844514309	1.40E-113	4.04E-112
CHI3L2	4.925495371	3.142646507	-1.782848864	1.53E-50	4.48E-50
HMBOX1	4.367087103	2.779149761	-1.587937342	1.18E-114	3.70E-113
LINC00894	2.572608714	1.168349385	-1.404259329	8.70E-69	3.94E-68
C19orf48	3.592582326	4.727427734	1.134845408	6.64E-77	3.82E-76
RNASEH2A	2.814951018	4.267919014	1.452967996	2.97E-102	4.29E-101
LEMD1	0.569073278	2.095411247	1.526337969	1.01E-67	4.47E-67
RRM2	1.656024413	4.07469019	2.418665777	1.30E-102	1.92E-101
CHIAP2	1.902083737	0.571316626	-1.330767111	3.05E-44	7.84E-44
LL22NC03-N95F10.1	2.360891338	0.83716484	-1.523726498	1.44E-48	4.06E-48
WDR12	3.516347187	4.548768017	1.03242083	1.70E-69	7.86E-69
ERGIC2	4.458600551	5.793892666	1.335292115	9.59E-118	3.88E-116
CCL21	6.635322911	5.268620406	-1.366702505	1.98E-39	4.63E-39
VSTM2L	3.039089245	4.404191621	1.365102376	6.90E-35	1.48E-34
XAGE1B	0.862265512	5.208235653	4.345970141	4.98E-66	2.12E-65
SDSL	2.553024936	3.576343085	1.023318149	2.55E-60	9.39E-60
ATN1	6.336327967	5.32064056	-1.015687407	1.01E-89	8.69E-89
MYL2	1.662259973	0.069866808	-1.592393165	1.45E-90	1.29E-89
CLDN3	3.081971503	5.763112009	2.681140506	1.35E-92	1.29E-91
FERMT1	0.608292724	2.611530635	2.003237911	2.26E-125	2.54E-123
CDT1	1.031961143	2.655889182	1.623928039	2.02E-95	2.14E-94
GSTT2B	3.485074368	2.466870365	-1.018204003	8.06E-33	1.66E-32
SAMHD1	5.554782686	4.534015101	-1.020767585	3.99E-62	1.53E-61
CFD	7.503583876	4.015903552	-3.487680323	5.88E-124	4.91E-122
CFLAR-AS1	2.228822594	0.94322138	-1.285601214	4.42E-77	2.56E-76
CDKN1C	4.590336687	3.433183606	-1.157153081	1.11E-61	4.21E-61
TCAP	1.89731011	0.508004438	-1.389305672	1.40E-105	2.41E-104
FEZ1	4.733765533	2.387790012	-2.345975521	1.36E-129	4.04E-127
SPR	3.776434559	4.855981951	1.079547392	7.83E-85	5.70E-84
ADAM12	0.789781361	1.831001386	1.041220025	9.18E-51	2.70E-50
PLEKHA6	1.618780805	3.066574471	1.447793666	5.84E-77	3.37E-76
AQP9	3.827114138	2.02890543	-1.798208708	3.02E-92	2.85E-91
TNFRSF17	0.768420124	2.000344571	1.231924446	2.80E-58	9.73E-58
SEMA3G	3.82905849	1.391824693	-2.437233797	1.49E-123	1.17E-121
NFKBIZ	5.320122837	3.734160529	-1.585962308	1.72E-75	9.48E-75
C1orf228	3.444372427	2.104244723	-1.340127704	9.74E-73	4.91E-72
ARID5A	5.570241585	3.615639182	-1.954602402	1.72E-106	3.11E-105
C1orf106	2.005808232	4.437729817	2.431921585	8.36E-116	2.93E-114
CD163	6.752892614	4.859004127	-1.893888487	6.52E-62	2.49E-61
CSTA	4.340117219	3.297322776	-1.042794444	4.58E-56	1.51E-55
AC006128.2	3.061237291	1.58795201	-1.473285282	6.02E-64	2.42E-63
AC009065.4	0.241227194	1.797244266	1.556017071	5.83E-111	1.43E-109
YARS2	2.851324944	3.861872253	1.010547309	1.34E-93	1.32E-92
ANPEP	5.205331852	3.288756066	-1.916575786	2.07E-74	1.10E-73
CLDN4	5.637885029	7.722707813	2.084822784	3.97E-106	7.05E-105
N4BP2L2-IT2	1.759958963	0.463585002	-1.296373961	6.02E-88	4.88E-87
C12orf45	3.28228624	4.402468912	1.120182672	2.46E-111	6.24E-110
PGK1	7.521583654	8.523380681	1.001797028	1.32E-78	8.00E-78
HNRNPA1P33	2.045214954	0.955387747	-1.089827207	7.33E-58	2.52E-57
LINC01207	0.237465171	1.489409283	1.251944112	3.31E-55	1.08E-54
NDC1	1.750796125	2.847371332	1.096575208	6.77E-113	1.87E-111
MAP1LC3A	5.475609171	4.297786212	-1.177822959	6.17E-69	2.81E-68
NFKBID	3.843113008	2.336354303	-1.506758705	1.24E-82	8.48E-82
ENC1	2.526613516	3.947963605	1.421350089	6.47E-83	4.44E-82
RP11-958N24.1	3.256534496	1.707586959	-1.548947537	5.15E-84	3.65E-83
COCH	0.619271986	1.841738733	1.222466747	3.97E-50	1.15E-49
RFC4	2.894722966	3.92732063	1.032597664	3.28E-64	1.33E-63
ECEL1P2	3.034906333	0.766793742	-2.268112592	1.58E-109	3.55E-108
RP11-480I12.5	0.765221897	2.258010367	1.49278847	4.73E-93	4.58E-92
FGF2	2.367653117	0.627705202	-1.739947915	4.02E-123	2.94E-121
SORBS3	6.88442882	5.354274302	-1.530154518	2.23E-122	1.46E-120
PKM	7.984295692	9.112537103	1.128241412	8.42E-102	1.20E-100
CD177	2.560259967	0.961295121	-1.598964846	4.21E-49	1.20E-48
LILRB2	4.07632875	2.507180075	-1.569148675	1.59E-82	1.08E-81
FADS3	5.560180439	3.779022666	-1.781157773	1.69E-109	3.78E-108
ENPP5	2.143938195	3.201122976	1.057184781	3.73E-56	1.23E-55
RP11-519G16.5	0.170589888	1.325497781	1.154907893	1.36E-90	1.21E-89
IGFBP3	4.63999104	6.653389305	2.013398265	2.28E-78	1.37E-77
IGLC6	0.487099642	1.631587006	1.144487364	4.58E-55	1.48E-54
ARHGEF7	4.925504187	3.708563	-1.216941187	1.62E-93	1.59E-92
FUCA1	4.305067256	5.705155933	1.400088677	9.41E-80	5.90E-79
ADCY5	2.085715635	1.036140243	-1.049575392	3.01E-67	1.32E-66
NCAPG2	1.793481224	2.991935769	1.198454545	1.47E-87	1.17E-86
PLCXD2	2.591812496	1.175691668	-1.416120828	2.47E-78	1.48E-77
CLDN5	7.762210269	3.788289605	-3.973920663	3.49E-129	8.79E-127
TMC4	4.332999738	5.51213439	1.179134653	1.21E-72	6.07E-72
CENPK	1.268870714	2.369049872	1.100179158	7.48E-76	4.16E-75
ZEB2	4.915260665	3.048118796	-1.867141869	1.87E-120	9.83E-119
APBB1	4.883580891	3.231440572	-1.652140319	4.41E-120	2.24E-118
PKD1P6	4.135053902	2.279219418	-1.855834484	7.53E-97	8.49E-96
PVRL1	1.878526649	3.173824621	1.295297972	8.05E-91	7.21E-90
IGLV1-51	4.948648928	6.831290834	1.882641906	4.80E-38	1.09E-37
PPAP2B	5.798332023	4.260140688	-1.538191336	1.73E-118	7.51E-117
IL3RA	4.152756321	2.538634741	-1.614121581	7.91E-113	2.18E-111
SRD5A3	3.384201107	5.412143841	2.027942734	4.55E-109	9.85E-108
CATIP-AS1	1.978638403	0.911423972	-1.067214431	1.19E-60	4.40E-60
PNPLA2	6.768885134	5.564711949	-1.204173185	5.46E-96	5.92E-95
AC068580.6	2.057180474	0.998220463	-1.058960011	2.22E-54	7.09E-54
S100A2	2.527138413	4.817319973	2.290181561	3.23E-75	1.76E-74
TMEM14B	5.212665991	6.394147462	1.18148147	1.92E-112	5.20E-111
TK1	2.751050758	4.968103929	2.217053172	2.11E-103	3.24E-102
NOVA2	2.720918266	0.706247995	-2.014670271	3.01E-132	2.91E-129
IGHV4-31	1.73060313	3.969074741	2.238471611	3.80E-53	1.18E-52
ZBTB16	4.208126516	1.239735154	-2.968391362	4.55E-108	9.18E-107
RP11-89K11.1	1.918445882	0.822042918	-1.096402964	6.37E-88	5.16E-87
HSPB2	3.082342507	1.147420386	-1.93492212	1.36E-125	1.57E-123
CLK1	7.013797715	5.321769314	-1.692028402	1.80E-85	1.34E-84
CKMT1B	0.795724467	2.530282362	1.734557896	7.07E-61	2.63E-60
RASIP1	4.810383327	2.13574935	-2.674633977	9.67E-128	1.89E-125
SYNPO2	3.375442591	1.382666643	-1.992775949	3.74E-118	1.59E-116
ITPKA	0.537535833	2.243649524	1.706113691	4.75E-69	2.17E-68
CCND2	3.765122572	2.711930344	-1.053192228	1.84E-73	9.50E-73
TOM1L1	3.55247208	4.830554285	1.278082205	5.84E-103	8.72E-102
PGM2L1	1.193437497	2.351456939	1.158019442	1.47E-97	1.70E-96
PTOV1-AS2	3.913123292	2.392836408	-1.520286884	2.64E-72	1.32E-71
CDK5	2.690792444	3.794632261	1.103839817	1.60E-100	2.12E-99
FAM103A2P	1.749437251	2.862080291	1.112643039	7.90E-56	2.60E-55
PRR29	2.941238391	1.689057035	-1.252181356	6.23E-64	2.51E-63
NHSL2	1.793887039	0.77027071	-1.023616329	2.55E-109	5.63E-108
PDZD2	3.270774537	1.79801477	-1.472759767	2.83E-83	1.97E-82
ADRB2	2.984984899	1.137966375	-1.847018524	4.63E-120	2.34E-118
MAMLD1	2.683186344	1.361925725	-1.321260619	3.84E-75	2.09E-74
SOX4	3.071840445	5.063231957	1.991391513	4.44E-117	1.71E-115
ATP1B2	1.739134564	0.664741701	-1.074392864	2.26E-87	1.79E-86
PTPRC	5.256447744	3.90237414	-1.354073604	8.41E-67	3.65E-66
PIGM	1.727030529	2.776009477	1.048978948	1.51E-115	5.20E-114
PTGIS	3.588327351	2.080261831	-1.50806552	6.17E-80	3.89E-79
SLC1A4	2.317059039	3.362110453	1.045051413	5.73E-78	3.40E-77
IGHV1-69-2	3.304443275	6.029813723	2.725370448	3.70E-59	1.32E-58
ARHGEF26	4.12016596	2.034386385	-2.085779575	1.34E-123	1.06E-121
OSR1	3.464895895	1.710845778	-1.754050117	2.77E-98	3.32E-97
AMPD2	5.262209896	4.223854451	-1.038355445	4.78E-57	1.61E-56
ACSS3	2.821255713	1.598555265	-1.222700447	8.33E-81	5.40E-80
SYT12	0.137955456	2.100519392	1.962563936	2.31E-117	9.15E-116
RP11-732A19.5	3.508279116	2.187877398	-1.320401718	8.89E-79	5.42E-78
STAP2	3.451866492	4.841670763	1.38980427	8.26E-104	1.29E-102
ADAMTS10	4.051029197	2.061867885	-1.989161312	2.14E-83	1.49E-82
ATHL1	6.166991865	4.811324059	-1.355667807	1.26E-31	2.54E-31
CLPTM1L	6.289320974	7.447163518	1.157842544	1.27E-96	1.42E-95
PRCD	2.370322124	0.92241897	-1.447903154	3.53E-113	9.97E-112
IGHV2-26	1.779754611	3.395729382	1.615974771	1.09E-33	2.29E-33
EEF1A2	0.783126786	3.203896241	2.420769455	2.31E-43	5.83E-43
EML3	5.640976969	4.48865371	-1.152323259	2.48E-80	1.59E-79
GABRE	4.078676661	2.513866355	-1.564810306	5.57E-56	1.83E-55
CD300LF	3.55698689	2.338008377	-1.218978513	4.47E-68	1.99E-67
SCARA5	3.431228986	0.882431806	-2.54879718	2.86E-104	4.59E-103
SCARA3	3.448006667	2.376566013	-1.071440653	2.57E-51	7.66E-51
CD300LG	2.762882383	0.254413719	-2.508468664	7.47E-125	7.50E-123
P2RX7	2.535751583	1.44331235	-1.092439233	1.58E-80	1.02E-79
ZNF593	2.6061353	3.669628741	1.063493441	1.64E-86	1.26E-85
RCAN2	3.603823897	2.537489688	-1.066334209	3.89E-58	1.35E-57
MMP25	3.513350108	1.083833254	-2.429516854	9.24E-102	1.31E-100
RBMS3	3.329001651	1.532005802	-1.796995849	4.46E-117	1.72E-115
CSDC2	2.836536036	1.252190611	-1.584345424	2.03E-95	2.15E-94
RAB26	0.553001092	1.572953511	1.019952419	8.10E-75	4.37E-74
PRKCDBP	4.921296598	3.830537477	-1.090759121	4.74E-57	1.60E-56
IGHM	6.203074017	8.084683346	1.881609329	4.82E-36	1.05E-35
ASPM	0.46360959	1.903175862	1.439566273	3.31E-108	6.76E-107
SSR1	4.863422569	5.939131655	1.075709085	1.68E-99	2.14E-98
RP11-81A1.6	2.702536073	1.358639357	-1.343896716	2.34E-101	3.25E-100
CTC-510F12.2	1.94527421	0.379330173	-1.565944037	3.57E-98	4.25E-97
SERPINB5	0.232461415	1.398779411	1.166317996	2.01E-33	4.17E-33
TSPAN7	5.583941625	3.457696797	-2.126244828	4.42E-79	2.72E-78
AC005104.3	2.208407248	0.871588753	-1.336818495	3.12E-74	1.65E-73
GYG2	0.644335662	2.114119559	1.469783897	9.54E-101	1.28E-99
CH17-224D4.1	0.730675542	2.103353325	1.372677783	8.31E-33	1.71E-32
C15orf59	2.124129698	1.101727488	-1.02240221	8.87E-65	3.65E-64
EDNRB	4.984860494	1.933195273	-3.051665221	3.59E-130	1.34E-127
KIAA0895L	4.277082859	2.911743862	-1.365338997	1.07E-63	4.28E-63
IGLV1-40	5.09689688	7.30328104	2.20638416	5.65E-51	1.67E-50
DISP1	3.001453947	1.904959563	-1.096494384	3.39E-90	2.96E-89
CAMK2N1	5.479943286	3.530195074	-1.949748212	4.43E-87	3.47E-86
LHFP	5.77622808	3.623281613	-2.152946467	2.49E-129	6.52E-127
S100A9	9.418932541	7.94645678	-1.472475761	3.62E-32	7.34E-32
ZDHHC13	2.346648575	3.404691242	1.058042667	1.76E-107	3.40E-106
CDC20	1.422314175	4.192546153	2.770231978	1.79E-115	6.10E-114
KLHL29	2.194347234	1.186276715	-1.00807052	5.58E-91	5.04E-90
HERC1	4.929066887	3.706552895	-1.222513992	1.72E-113	4.94E-112
SLC25A28	5.826061414	4.555773104	-1.27028831	1.47E-100	1.95E-99
ZNF439	2.394344645	1.39331751	-1.001027136	9.22E-88	7.43E-87
GSTM2	5.971138828	3.998703116	-1.972435712	6.73E-87	5.23E-86
EGFL7	7.055923434	4.897050043	-2.15887339	1.27E-102	1.87E-101
LINC00891	1.866196469	0.77054377	-1.095652699	1.35E-76	7.68E-76
PRAM1	3.756263407	1.625320276	-2.130943132	4.68E-118	1.97E-116
MYRF	4.400073009	2.333957847	-2.066115162	1.71E-87	1.36E-86
AK2	5.772996634	6.814585778	1.041589144	1.52E-115	5.20E-114
C8orf46	1.635470285	0.542837366	-1.092632919	1.15E-77	6.74E-77
ATP5J2	7.677458034	8.767355715	1.089897682	1.33E-98	1.62E-97
LINC01002	5.919595173	4.492353408	-1.427241764	1.60E-61	6.03E-61
MAPK8IP3	5.319373366	3.942177744	-1.377195622	6.54E-61	2.43E-60
DTNA	3.303644122	2.201112149	-1.102531974	3.52E-59	1.25E-58
GPSM1	4.364125813	2.649970984	-1.714154829	7.19E-97	8.12E-96
KIF4A	0.415918357	2.156530202	1.740611844	2.84E-116	1.03E-114
FLT4	3.958223642	2.020158668	-1.938064975	2.05E-115	6.97E-114
SLC9A3R1	4.360931647	5.39257209	1.031640444	6.81E-72	3.36E-71
ANLN	1.004065776	3.201210106	2.197144331	4.89E-111	1.21E-109
AKT3	3.65002075	2.09199011	-1.558030639	1.49E-101	2.08E-100
RP11-632K20.7	3.249994728	1.716494766	-1.533499962	2.53E-83	1.76E-82
CABYR	1.077876582	2.582039695	1.504163113	1.86E-50	5.43E-50
TLN1	7.454223387	6.413942359	-1.040281028	6.96E-114	2.05E-112
TWF1	4.062357373	5.287961144	1.225603771	3.92E-110	9.21E-109
C8orf88	2.016763947	0.849804017	-1.16695993	8.38E-106	1.47E-104
CCL14	5.519175222	3.495517665	-2.023657557	8.59E-59	3.03E-58
IL4I1	1.295932482	3.052010303	1.756077821	2.53E-86	1.94E-85
MYL6B	4.367415711	5.446618987	1.079203276	6.40E-98	7.55E-97
PTN	3.328724398	2.078463734	-1.250260664	8.46E-52	2.55E-51
IGF2BP3	0.631894825	2.179626924	1.5477321	1.92E-51	5.74E-51
ADPRHL1	0.930173862	1.966710512	1.036536649	2.44E-83	1.70E-82
RAPGEF5	4.639171281	3.14716637	-1.492004912	8.56E-96	9.23E-95
RP11-347I19.8	2.001711597	0.883240346	-1.118471251	1.36E-67	5.97E-67
CARD16	5.552491517	4.383678899	-1.168812618	1.87E-64	7.63E-64
ADORA2A	3.242271984	2.159260855	-1.083011129	8.43E-78	4.97E-77
AKAP8L	5.767938213	4.555431861	-1.212506352	5.33E-73	2.71E-72
RP11-251M1.1	2.819887011	0.522496015	-2.297390996	9.51E-127	1.42E-124
RP11-713N11.6	1.465559068	0.395923706	-1.069635362	2.44E-82	1.65E-81
CMTM2	2.536860874	0.573489048	-1.963371825	3.07E-122	1.96E-120
RP13-104F24.1	3.891872351	2.374469899	-1.517402452	8.56E-71	4.10E-70
LRCH4	5.962464355	4.825705291	-1.136759064	1.05E-76	6.01E-76
PRR11	0.875890195	2.524388289	1.648498094	9.38E-104	1.46E-102
TMTC1	2.769851586	1.232124165	-1.537727421	2.20E-92	2.09E-91
TBX5-AS1	3.159078083	1.226405106	-1.932672978	7.76E-125	7.75E-123
LANCL1-AS1	1.758430785	0.383998187	-1.374432598	1.59E-72	7.94E-72
GPR37	0.287218765	1.30042118	1.013202416	3.73E-66	1.59E-65
SLC19A3	2.67691346	0.89907789	-1.77783557	6.29E-112	1.65E-110
MIR22HG	5.0193785	3.39843647	-1.62094203	1.68E-96	1.86E-95
XAGE1A	0.574029252	5.391667118	4.817637866	8.26E-71	3.96E-70
IFNGR1	6.815684012	5.666387352	-1.14929666	2.49E-96	2.74E-95
AC147651.4	2.155674347	1.153525931	-1.002148416	9.72E-76	5.39E-75
MRPL24	5.012409239	6.246237593	1.233828354	3.67E-108	7.47E-107
RP11-423H2.1	2.987976118	3.996820963	1.008844845	1.13E-71	5.54E-71
ZMYND15	2.777394165	1.683756637	-1.093637528	6.10E-81	3.97E-80
LGI4	3.35898677	0.830382128	-2.528604642	2.52E-126	3.48E-124
SDC1	5.224739629	7.39426375	2.169524121	8.70E-109	1.84E-107
NFE2	2.921866799	1.671082209	-1.250784589	4.16E-57	1.40E-56
RP11-274B21.12	4.078155638	3.043678281	-1.034477357	1.46E-51	4.39E-51
CCDC37	2.02294514	0.645912322	-1.377032819	1.19E-40	2.85E-40
NCF4	4.863575584	3.604518716	-1.259056868	2.08E-76	1.18E-75
KIF17	2.572355226	0.93989868	-1.632456546	2.32E-128	5.01E-126
NDUFB9	6.702904878	7.746331832	1.043426953	1.47E-83	1.03E-82
ABRACL	4.371788581	5.486442137	1.114653556	2.91E-81	1.91E-80
PKD1P1	2.659950547	1.006509472	-1.653441075	3.28E-70	1.55E-69
TCN1	0.761043286	1.935325722	1.174282437	1.18E-08	1.52E-08
ANKRD10-IT1	3.299746449	2.188160565	-1.111585883	1.03E-51	3.10E-51
IGLV3-10	3.526935449	5.340197642	1.813262193	2.04E-30	4.01E-30
PCSK9	2.480381356	1.435838007	-1.044543349	2.64E-34	5.58E-34
YPEL4	2.041453388	0.718267005	-1.323186382	1.35E-106	2.47E-105
IGKV3OR2-268	0.41735423	2.096580767	1.679226537	1.62E-80	1.04E-79
CT83	0.060516344	1.924178837	1.863662493	1.21E-48	3.43E-48
PLEK2	1.146475955	3.631410328	2.484934374	1.20E-131	8.16E-129
MGAM	1.53667521	0.22841696	-1.30825825	1.06E-100	1.42E-99
ASMTL-AS1	3.542119511	1.990356786	-1.551762726	1.28E-57	4.37E-57
GDF10	3.570321424	0.891046196	-2.679275228	2.51E-117	9.86E-116
HKDC1	1.215236922	2.5187627	1.303525777	1.01E-50	2.98E-50
CRISPLD2	5.535177724	3.489309061	-2.045868663	2.74E-91	2.50E-90
RP11-34P13.15	4.88200715	3.620262103	-1.261745047	1.45E-46	3.91E-46
MS4A2	2.220152071	1.152402735	-1.067749336	4.00E-53	1.24E-52
RPL35P1	0.735704888	1.891635216	1.155930328	1.66E-77	9.73E-77
RP11-311C24.1	4.735150219	3.679622982	-1.055527237	5.67E-76	3.17E-75
ZNF589	3.285293028	2.170461658	-1.11483137	2.14E-82	1.45E-81
RP11-161H23.5	5.072515724	6.757918908	1.685403183	4.78E-97	5.43E-96
ARPC4-TTLL3	3.434476233	2.244302131	-1.190174102	4.54E-81	2.97E-80
SLC16A9	0.625375165	2.048367085	1.422991919	2.86E-50	8.33E-50
WNT2	3.224893393	1.995977991	-1.228915402	4.08E-68	1.82E-67
FANCF	1.272417948	2.431115982	1.158698034	4.30E-125	4.54E-123
TRO	2.555703167	1.435638321	-1.120064846	2.57E-57	8.74E-57
RP5-1160K1.6	1.503919025	0.434155703	-1.069763323	5.71E-69	2.61E-68
SSR4	7.679056076	9.140944064	1.461887988	3.00E-111	7.57E-110
PROK2	2.326303553	0.207196292	-2.119107261	5.20E-116	1.85E-114
SEMA3F-AS1	1.947356091	0.759771737	-1.187584354	3.57E-100	4.67E-99
VAMP2	6.02253947	4.903463778	-1.119075692	2.65E-112	7.11E-111
PCDHGC3	6.094136731	4.295474622	-1.798662108	6.71E-122	4.12E-120
GALNT7	2.451347398	4.184867192	1.733519794	2.54E-124	2.28E-122
EDN1	4.442976477	3.171521382	-1.271455095	2.22E-43	5.61E-43
SGPL1	3.179000984	4.287841843	1.108840859	1.04E-117	4.17E-116
NPIPB5	6.656772175	4.986665213	-1.670106962	1.29E-69	5.97E-69
RP11-789C17.5	1.677359446	0.586164572	-1.091194874	1.72E-56	5.71E-56
AC004623.3	1.418939927	0.378171081	-1.040768847	2.61E-78	1.56E-77
TOM1L2	4.461115021	3.358027197	-1.103087825	5.25E-103	7.87E-102
GNRH1	2.05131493	0.710720581	-1.340594349	6.46E-86	4.87E-85
CSRP1	8.025609528	6.897934913	-1.127674615	1.66E-99	2.12E-98
DUXAP8	1.00852733	2.315173044	1.306645714	1.21E-48	3.42E-48
RP11-27G14.4	0.416693466	1.644810926	1.22811746	5.74E-112	1.51E-110
TMEM71	2.581745523	1.528393935	-1.053351588	8.01E-64	3.21E-63
LINC01140	2.839169268	1.371905505	-1.467263763	5.72E-99	7.11E-98
APOC2	1.678959718	2.925710072	1.246750354	1.22E-37	2.74E-37
NRGN	5.467546045	3.89025787	-1.577288176	3.16E-54	1.00E-53
FAAH2	2.115796033	3.326899256	1.211103223	2.20E-81	1.45E-80
FES	5.000552485	3.421246369	-1.579306117	3.25E-100	4.27E-99
TG	1.643806303	0.575161063	-1.06864524	5.53E-63	2.17E-62
CMBL	2.789740691	4.080787228	1.291046537	1.34E-49	3.85E-49
RP11-325L12.6	1.657135912	0.403785396	-1.253350516	6.94E-119	3.13E-117
CLK4	3.951029798	2.814227552	-1.136802246	1.28E-78	7.79E-78
TFF3	3.895486783	5.556078557	1.660591773	2.09E-15	3.11E-15
HES6	2.202211241	3.424802602	1.222591362	1.63E-45	4.30E-45
COA4	4.748137233	5.815860813	1.06772358	5.36E-105	8.98E-104
RP11-61I13.3	2.282105103	0.61930301	-1.662802093	1.26E-99	1.62E-98
IGLV3-9	1.637961215	3.357142275	1.71918106	1.92E-38	4.39E-38
ZNF385B	3.515133137	1.859810361	-1.655322776	1.19E-49	3.42E-49
SAT1	9.975432139	8.910020397	-1.065411743	1.24E-62	4.82E-62
HIC1	3.089838707	1.745643573	-1.344195134	1.50E-89	1.28E-88
DGKG	2.201791709	1.193681134	-1.008110575	1.31E-66	5.66E-66
TMEM178A	2.479187119	1.221083191	-1.258103928	2.05E-79	1.27E-78
MNDA	4.427862059	3.262001431	-1.165860628	1.83E-51	5.47E-51
AQP1	8.800131307	6.404162595	-2.395968712	5.06E-76	2.84E-75
ARHGAP29	4.374598599	2.979589873	-1.395008726	1.38E-94	1.40E-93
PTGES	2.301169806	4.079405479	1.778235674	3.93E-72	1.95E-71
MKI67	1.130804352	2.999120939	1.868316588	3.85E-97	4.39E-96
STMN1	5.470577841	6.893293003	1.422715161	1.02E-78	6.24E-78
NKG7	4.819165543	3.644667717	-1.174497827	2.01E-38	4.60E-38
